Age,Sleep_quality,Sleep_quality_causing_exhaustion,Injury,Required_recovery_time,Training_intensity,Too_much_training,Exhaustion,Training_frequency,Too_much_training_causing_exhaustion
12_up_to_20,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
younger_than_12,Good,No,No,Short,High,No,No,up_till_3_per_week,No
younger_than_12,Poor,Yes,No,Long,Low,Yes,Yes,more_than_3_per_week,Yes
12_up_to_20,Good,No,No,Short,Low,No,No,more_than_3_per_week,No
younger_than_12,Poor,Yes,No,Short,Low,No,Yes,up_till_3_per_week,No
12_up_to_20,Good,No,No,Short,High,No,No,up_till_3_per_week,No
younger_than_12,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
older_than_35,Good,No,No,Long,Low,No,No,up_till_3_per_week,No
younger_than_12,Poor,Yes,No,Short,Low,No,Yes,up_till_3_per_week,No
younger_than_12,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
older_than_35,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
12_up_to_20,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
12_up_to_20,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
younger_than_12,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
20_up_to_35,Poor,Yes,Yes,Short,Low,No,Yes,up_till_3_per_week,No
younger_than_12,Good,Yes,Yes,Short,High,Yes,Yes,up_till_3_per_week,Yes
12_up_to_20,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
younger_than_12,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
younger_than_12,Good,No,No,Short,Low,No,No,more_than_3_per_week,No
12_up_to_20,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
younger_than_12,Poor,Yes,No,Short,Low,No,Yes,up_till_3_per_week,No
20_up_to_35,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
older_than_35,Poor,Yes,No,Short,Low,No,Yes,up_till_3_per_week,No
younger_than_12,Good,No,No,Short,High,No,No,up_till_3_per_week,No
20_up_to_35,Poor,Yes,No,Short,Low,No,Yes,up_till_3_per_week,No
younger_than_12,Poor,Yes,No,Short,Low,No,Yes,up_till_3_per_week,No
12_up_to_20,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
12_up_to_20,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
younger_than_12,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
older_than_35,Good,No,No,Short,Low,No,Yes,up_till_3_per_week,Yes
younger_than_12,Poor,Yes,No,Short,Low,No,Yes,more_than_3_per_week,No
younger_than_12,Poor,Yes,No,Short,Low,No,Yes,up_till_3_per_week,No
12_up_to_20,Poor,Yes,No,Short,Low,No,Yes,up_till_3_per_week,No
12_up_to_20,Poor,Yes,No,Short,High,No,Yes,up_till_3_per_week,No
12_up_to_20,Good,No,Yes,Short,Low,Yes,Yes,up_till_3_per_week,Yes
younger_than_12,Good,No,No,Short,Low,No,No,more_than_3_per_week,No
12_up_to_20,Good,No,No,Short,Low,No,No,up_till_3_per_week,No
12_up_to_20,Good,No,No,Short,Low,Yes,Yes,up_till_3_per_week,Yes
