Sleep_quality,Required_recovery_time,Too_much_training_causing_exhaustion,Age,Sleep_quality_causing_exhaustion,Exhaustion,Training_intensity,Injury,Training_frequency,Too_much_training
Good,Long,No,younger_than_12,No,No,Low,No,up_till_3_per_week,No
Poor,Short,No,12_up_to_20,Yes,Yes,Low,No,up_till_3_per_week,No
Good,Long,No,20_up_to_35,No,No,Low,Yes,up_till_3_per_week,No
Good,Short,No,older_than_35,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,Yes,Yes,Low,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,Low,No,more_than_3_per_week,No
Good,Long,No,younger_than_12,No,No,High,No,up_till_3_per_week,No
Poor,Short,No,12_up_to_20,Yes,Yes,Low,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,High,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,Low,No,up_till_3_per_week,No
Poor,Short,No,12_up_to_20,Yes,Yes,Low,No,up_till_3_per_week,No
Good,Long,Yes,younger_than_12,No,Yes,High,No,more_than_3_per_week,Yes
Poor,Short,No,older_than_35,Yes,Yes,Low,No,up_till_3_per_week,No
Poor,Short,No,12_up_to_20,Yes,Yes,Low,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,Low,No,up_till_3_per_week,No
Poor,Short,No,12_up_to_20,Yes,Yes,Low,No,up_till_3_per_week,No
Poor,Short,No,12_up_to_20,Yes,Yes,Low,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,Low,No,up_till_3_per_week,No
Poor,Short,No,younger_than_12,Yes,Yes,Low,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,Low,No,more_than_3_per_week,No
Good,Long,No,12_up_to_20,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,High,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,Low,No,up_till_3_per_week,No
Good,Short,Yes,12_up_to_20,No,Yes,Low,No,up_till_3_per_week,No
Poor,Short,No,20_up_to_35,Yes,Yes,Low,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,High,Yes,up_till_3_per_week,No
Good,Short,No,20_up_to_35,Yes,Yes,Low,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,High,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,Low,No,more_than_3_per_week,No
Good,Short,Yes,younger_than_12,No,Yes,Low,No,more_than_3_per_week,No
Good,Short,No,younger_than_12,No,No,High,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,High,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,Low,No,up_till_3_per_week,No
Good,Short,No,younger_than_12,No,No,Low,No,up_till_3_per_week,No
Poor,Short,No,12_up_to_20,Yes,Yes,Low,No,more_than_3_per_week,No
Good,Long,No,12_up_to_20,No,No,High,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,Low,No,up_till_3_per_week,No
Good,Long,No,younger_than_12,No,No,High,No,up_till_3_per_week,No
Good,Short,No,12_up_to_20,No,No,Low,No,up_till_3_per_week,No
Good,Long,Yes,younger_than_12,No,Yes,Low,No,up_till_3_per_week,No
Poor,Short,No,20_up_to_35,Yes,Yes,Low,Yes,up_till_3_per_week,No
Good,Short,No,20_up_to_35,No,No,Low,No,up_till_3_per_week,No
